age,gender,level,value
89,Non-binary,No condition,0.0
89,Non-binary,All conditions,0.0
89,Total,No condition,0.0
89,Total,All conditions,36.1
90,Man,No condition,0.0
90,Man,All conditions,2.7
90,Woman,No condition,0.0
90,Woman,All conditions,10.8
90,Non-binary,No condition,0.0
90,Non-binary,All conditions,0.0
90,Total,No condition,0.0
90,Total,All conditions,13.8
91,Man,No condition,0.0
91,Man,All conditions,9.2
91,Woman,No condition,0.0
91,Woman,All conditions,12.5
91,Non-binary,No condition,0.0
91,Non-binary,All conditions,0.0
91,Total,No condition,0.0
91,Total,All conditions,27.6
92,Man,No condition,0.0
92,Man,All conditions,3.5
92,Woman,No condition,0.0
92,Woman,All conditions,16.5
92,Non-binary,No condition,0.0
92,Non-binary,All conditions,0.0
92,Total,No condition,0.0
92,Total,All conditions,18.9
93,Man,No condition,0.0
93,Man,All conditions,4.6
93,Woman,No condition,0.0
93,Woman,All conditions,2.8
93,Non-binary,No condition,0.0
93,Non-binary,All conditions,0.0
93,Total,No condition,0.0
93,Total,All conditions,5.2
94,Man,No condition,0.0
94,Man,All conditions,0.0
94,Woman,No condition,0.0
94,Woman,All conditions,12.0
94,Non-binary,No condition,0.0
94,Non-binary,All conditions,0.0
94,Total,No condition,0.0
94,Total,All conditions,17.8
95,Man,No condition,0.0
95,Man,All conditions,0.0
95,Woman,No condition,0.0
95,Woman,All conditions,5.9
95,Non-binary,No condition,0.0
95,Non-binary,All conditions,0.0
95,Total,No condition,0.0
95,Total,All conditions,3.6
96,Man,No condition,0.0
96,Man,All conditions,2.3
96,Woman,No condition,0.0
96,Woman,All conditions,6.4
96,Non-binary,No condition,0.0
96,Non-binary,All conditions,0.0
96,Total,No condition,0.0
96,Total,All conditions,9.8
97,Man,No condition,0.0
97,Man,All conditions,0.0
97,Woman,No condition,0.0
97,Woman,All conditions,7.7
97,Non-binary,No condition,0.0
97,Non-binary,All conditions,0.0
97,Total,No condition,0.0
97,Total,All conditions,8.6
98,Man,No condition,0.0
98,Man,All conditions,0.0
98,Woman,No condition,0.0
98,Woman,All conditions,8.1
98,Non-binary,No condition,0.0
98,Non-binary,All conditions,0.0
98,Total,No condition,0.0
98,Total,All conditions,9.5
99,Man,No condition,0.0
99,Man,All conditions,0.0
99,Woman,No condition,0.0
99,Woman,All conditions,2.0
99,Non-binary,No condition,0.0
99,Non-binary,All conditions,0.0
99,Total,No condition,0.0
99,Total,All conditions,2.9
