age,gender,level,value
48,Non-binary,Current daily smoker,0.0
48,Non-binary,Current smoker - other,0.0
48,Non-binary,Current non-smoker,0.0
48,Total,Current daily smoker,36.6
48,Total,Current smoker - other,20.8
48,Total,Current non-smoker,284.2
49,Man,Current daily smoker,20.8
49,Man,Current smoker - other,0.0
49,Man,Current non-smoker,103.4
49,Woman,Current daily smoker,21.5
49,Woman,Current smoker - other,0.0
49,Woman,Current non-smoker,183.4
49,Non-binary,Current daily smoker,0.0
49,Non-binary,Current smoker - other,0.0
49,Non-binary,Current non-smoker,0.0
49,Total,Current daily smoker,49.5
49,Total,Current smoker - other,8.9
49,Total,Current non-smoker,283.6
50,Man,Current daily smoker,33.4
50,Man,Current smoker - other,0.0
50,Man,Current non-smoker,128.5
50,Woman,Current daily smoker,33.3
50,Woman,Current smoker - other,2.4
50,Woman,Current non-smoker,143.3
50,Non-binary,Current daily smoker,0.0
50,Non-binary,Current smoker - other,0.0
50,Non-binary,Current non-smoker,0.0
50,Total,Current daily smoker,79.9
50,Total,Current smoker - other,2.4
50,Total,Current non-smoker,271.7
51,Man,Current daily smoker,21.6
51,Man,Current smoker - other,0.0
51,Man,Current non-smoker,114.0
51,Woman,Current daily smoker,18.8
51,Woman,Current smoker - other,0.0
51,Woman,Current non-smoker,128.3
51,Non-binary,Current daily smoker,0.0
51,Non-binary,Current smoker - other,0.0
51,Non-binary,Current non-smoker,0.0
51,Total,Current daily smoker,36.8
51,Total,Current smoker - other,0.5
51,Total,Current non-smoker,241.1
52,Man,Current daily smoker,16.4
52,Man,Current smoker - other,6.2
52,Man,Current non-smoker,108.4
52,Woman,Current daily smoker,20.1
52,Woman,Current smoker - other,0.0
52,Woman,Current non-smoker,152.2
52,Non-binary,Current daily smoker,0.0
52,Non-binary,Current smoker - other,0.0
52,Non-binary,Current non-smoker,0.0
52,Total,Current daily smoker,33.8
52,Total,Current smoker - other,5.1
52,Total,Current non-smoker,260.3
53,Man,Current daily smoker,37.8
53,Man,Current smoker - other,0.0
53,Man,Current non-smoker,99.5
53,Woman,Current daily smoker,31.4
53,Woman,Current smoker - other,0.0
53,Woman,Current non-smoker,124.6
53,Non-binary,Current daily smoker,0.0
53,Non-binary,Current smoker - other,0.0
53,Non-binary,Current non-smoker,0.0
53,Total,Current daily smoker,61.8
53,Total,Current smoker - other,7.3
53,Total,Current non-smoker,224.5
54,Man,Current daily smoker,35.2
54,Man,Current smoker - other,0.0
54,Man,Current non-smoker,115.9
54,Woman,Current daily smoker,15.6
54,Woman,Current smoker - other,0.0
54,Woman,Current non-smoker,125.4
54,Non-binary,Current daily smoker,0.0
54,Non-binary,Current smoker - other,0.0
54,Non-binary,Current non-smoker,0.0
54,Total,Current daily smoker,50.3
54,Total,Current smoker - other,6.9
54,Total,Current non-smoker,248.0
55,Man,Current daily smoker,38.0
55,Man,Current smoker - other,0.0
